beginnerwoodworking active users	date	garageporn active users	somethingimade active users	toolporn active users	woodworking active users	woodworkingplans active users	woodworkingvideos active users	workbenches active users
382	2021-03-08 08:31:45.551575	61	326	65	3132	21	6	82
401	2021-03-08 08:46:47.399205	61	326	65	3072	21	4	82
394	2021-03-08 09:01:49.326900	83	362	65	2847	20	17	82
411	2021-03-08 09:16:51.905697	83	362	124	2847	20	11	124
383	2021-03-08 09:31:54.020476	55	362	124	3936	23	9	106
383	2021-03-08 09:46:55.873256	67	394	124	3936	23	10	105
394	2021-03-08 10:01:57.860511	66	400	97	3936	23	15	107
394	2021-03-08 10:17:00.431203	42	400	114	3936	23	21	107
394	2021-03-08 10:32:02.451700	42	414	134	3082	23	21	94
325	2021-03-08 10:47:04.230703	45	454	152	3082	26	7	130
317	2021-03-08 11:02:06.214718	45	357	111	3114	31	7	130
347	2021-03-08 11:17:09.728840	51	398	94	3114	31	7	106
334	2021-03-08 11:32:11.700434	48	330	109	3493	31	7	106
331	2021-03-08 11:47:13.793263	41	311	88	3493	31	15	99
388	2021-03-08 12:02:15.894239	41	311	100	3493	31	9	99
388	2021-03-08 12:17:18.562036	30	361	87	3493	31	9	106
388	2021-03-08 12:32:20.530853	22	361	87	3493	31	7	106
379	2021-03-08 12:47:22.486836	42	284	78	3204	31	12	92
322	2021-03-08 13:02:24.300512	38	284	78	3204	28	12	82
326	2021-03-08 13:17:26.745352	38	343	85	3204	22	12	82
340	2021-03-08 13:32:28.564851	38	315	90	3204	21	6	91
348	2021-03-08 13:47:30.485001	56	315	90	2863	34	6	91
349	2021-03-08 14:02:32.560556	45	300	90	2949	34	11	108
356	2021-03-08 14:17:35.300472	38	317	90	2583	34	5	101
293	2021-03-08 14:32:37.114231	38	271	69	2517	32	5	101
294	2021-03-08 14:47:39.165444	50	285	73	2517	25	7	101
342	2021-03-08 15:02:41.098553	43	504	73	2517	29	4	175
327	2021-03-08 15:17:43.770578	43	504	79	3096	29	4	184
323	2021-03-08 15:32:45.695794	43	504	80	2857	23	4	206
323	2021-03-08 15:47:47.651663	31	621	80	2924	48	4	198
323	2021-03-08 16:02:49.385585	51	638	80	2924	77	4	163
383	2021-03-08 16:17:51.902071	51	427	62	2515	77	11	163
367	2021-03-08 16:32:53.672945	43	318	66	2411	50	11	152
354	2021-03-08 16:47:55.820396	28	327	66	2411	50	11	160
344	2021-03-08 17:02:57.584646	28	320	66	2495	51	11	159
344	2021-03-08 17:18:00.328697	28	320	66	2495	51	11	194
344	2021-03-08 17:33:02.557752	26	335	75	2564	51	4	178
344	2021-03-08 17:48:04.580487	33	340	74	2966	28	9	162
344	2021-03-08 18:03:06.476465	43	315	104	2550	28	9	179
344	2021-03-08 18:18:09.074508	39	338	87	2550	23	9	179
344	2021-03-08 18:33:11.192434	38	280	74	2819	23	4	179
344	2021-03-08 18:48:13.054341	39	286	74	2819	23	4	150
416	2021-03-08 19:03:15.084912	30	308	69	3328	26	4	151
416	2021-03-08 19:18:17.556973	28	295	69	8185	31	4	178
416	2021-03-08 19:33:19.555369	34	250	69	8355	31	4	178
397	2021-03-08 19:48:21.379195	28	250	82	9453	31	4	178
381	2021-03-08 20:03:24.599117	35	250	89	10031	23	4	170
392	2021-03-08 20:18:27.064095	33	270	89	10031	23	9	170
392	2021-03-08 20:33:28.828319	39	270	83	10031	23	9	198
330	2021-03-08 20:48:30.513831	32	270	83	5104	22	9	198
330	2021-03-08 21:03:32.227122	40	256	86	5104	22	9	166
330	2021-03-08 21:18:34.559062	40	264	93	5104	22	6	157
327	2021-03-08 21:33:36.230757	30	264	93	3776	22	6	175
327	2021-03-08 21:48:37.965908	30	252	93	3776	22	6	152
300	2021-03-08 22:03:40.064243	30	224	64	3776	22	9	121
261	2021-03-08 22:18:42.357440	36	224	64	3776	32	2	104
261	2021-03-08 22:33:44.083613	30	215	68	2889	42	2	104
261	2021-03-08 22:48:45.836139	27	209	65	2782	37	2	104
261	2021-03-08 23:03:47.593960	27	209	65	2782	26	2	110
169	2021-03-08 23:18:50.034155	41	194	65	2555	19	2	110
184	2021-03-08 23:33:51.860631	41	180	65	2394	19	2	129
148	2021-03-08 23:48:53.605787	16	172	65	2394	24	6	129
136	2021-03-09 00:03:55.161914	15	181	71	2111	22	6	81
145	2021-03-09 00:18:57.837642	18	198	55	2111	22	5	99
159	2021-03-09 00:33:59.516067	24	235	55	2119	13	5	96
145	2021-03-09 00:49:01.082831	20	195	51	2119	14	11	96
145	2021-03-09 01:04:02.836085	15	195	51	2119	21	3	79
135	2021-03-09 01:19:05.278545	12	195	47	2119	14	7	86
135	2021-03-09 01:34:06.875562	12	126	41	2361	13	7	54
145	2021-03-09 01:49:08.471820	18	164	41	2658	13	4	54
120	2021-03-09 02:04:10.108683	14	164	41	1645	13	4	57
124	2021-03-09 02:19:12.363493	9	164	37	1645	10	4	57
226	2021-03-09 02:34:14.161348	9	145	44	1645	4	3	55
248	2021-03-09 02:49:16.025309	16	145	44	1542	14	3	57
248	2021-03-09 03:04:17.682212	16	145	44	1316	13	2	99
248	2021-03-09 03:19:20.270390	9	129	44	1316	10	3	129
245	2021-03-09 03:34:21.865602	9	129	41	1379	10	4	122
237	2021-03-09 03:49:23.528843	12	129	33	1596	10	4	122
201	2021-03-09 04:04:25.317411	15	109	33	1683	16	4	91
201	2021-03-09 04:19:27.780847	9	109	44	1683	22	4	89
201	2021-03-09 04:34:30.846884	11	162	44	1683	17	4	89
236	2021-03-09 04:49:32.665288	14	162	74	1901	20	4	89
236	2021-03-09 05:04:34.350482	12	237	48	2129	22	4	89
211	2021-03-09 05:19:36.705507	12	237	48	2129	25	7	89
211	2021-03-09 05:34:38.410702	12	193	48	2048	22	7	89
211	2021-03-09 05:49:40.075485	19	193	64	2048	15	8	115
211	2021-03-09 06:04:41.873725	23	236	64	2954	19	9	126
219	2021-03-09 06:19:44.491522	24	236	64	2232	19	7	166
219	2021-03-09 06:34:46.362263	24	236	64	2259	19	9	151
213	2021-03-09 06:49:48.028146	39	236	78	2274	19	9	169
218	2021-03-09 07:04:49.677702	39	217	57	2402	19	9	149
218	2021-03-09 07:19:52.178669	39	375	57	2412	18	9	161
245	2021-03-09 07:34:53.959647	23	358	57	2412	32	9	161
255	2021-03-09 07:49:55.714030	27	244	54	2412	32	9	95
255	2021-03-09 08:04:57.443611	30	242	66	2542	32	9	95
255	2021-03-09 08:19:59.959998	30	283	65	2542	32	9	119
255	2021-03-09 08:35:07.229711	30	283	69	2538	24	14	119
255	2021-03-09 08:50:08.920839	36	283	60	2538	18	12	119
255	2021-03-09 09:05:10.640494	36	283	55	2605	21	12	97
253	2021-03-09 09:20:13.166352	28	303	62	2815	25	8	97
253	2021-03-09 09:35:14.915733	28	303	68	2815	27	8	97
257	2021-03-09 09:50:16.847111	54	253	50	2736	26	10	97
286	2021-03-09 10:05:18.770476	51	249	58	2718	26	11	97
313	2021-03-09 10:20:21.658707	65	249	47	2737	21	5	97
313	2021-03-09 10:35:23.528833	65	249	45	2737	20	3	97
313	2021-03-09 10:50:25.312793	65	238	45	2737	20	3	97
313	2021-03-09 11:05:27.210480	49	286	45	2944	27	9	97
313	2021-03-09 11:20:29.770482	52	228	45	2950	27	17	97
313	2021-03-09 11:35:31.617246	52	200	45	2680	30	17	130
285	2021-03-09 11:50:33.671195	38	200	51	2686	30	10	130
264	2021-03-09 12:05:35.718739	33	200	53	2834	30	8	123
327	2021-03-09 12:20:38.103196	33	200	85	2905	30	11	133
327	2021-03-09 12:35:40.155307	33	211	88	2905	30	11	133
327	2021-03-09 12:50:42.065475	33	206	68	2905	30	4	175
327	2021-03-09 13:05:43.909828	33	200	68	2975	30	4	175
230	2021-03-09 13:20:46.293976	33	200	74	2975	30	4	146
230	2021-03-09 13:35:48.149015	43	193	74	2964	30	6	125
230	2021-03-09 13:50:49.977368	43	193	74	2964	30	21	123
376	2021-03-09 14:05:51.899250	47	193	71	2964	30	8	127
368	2021-03-09 14:20:54.391378	47	193	70	3161	18	8	127
368	2021-03-09 14:35:56.653151	51	193	76	3028	18	8	117
362	2021-03-09 14:50:58.492490	42	187	76	3028	28	8	119
395	2021-03-09 15:06:00.428900	42	187	99	2535	20	8	119
348	2021-03-09 15:21:03.079798	38	187	99	2535	20	8	119
384	2021-03-09 15:36:04.800496	30	187	72	2273	22	4	119
420	2021-03-09 15:51:06.767883	37	208	73	2227	27	4	119
431	2021-03-09 16:06:08.785455	25	239	73	2649	27	11	119
431	2021-03-09 16:21:11.150215	25	168	57	2346	17	11	119
397	2021-03-09 16:36:13.056431	21	168	43	2346	12	15	119
426	2021-03-09 16:51:15.240894	21	134	74	2346	21	15	97
426	2021-03-09 17:06:17.350137	22	221	71	2373	21	15	107
426	2021-03-09 17:21:20.095817	22	261	61	2389	21	13	107
426	2021-03-09 17:36:22.438926	32	185	61	2486	23	9	120
426	2021-03-09 17:51:24.215321	32	193	61	2446	11	9	112
380	2021-03-09 18:06:25.925968	32	203	61	2631	12	9	139
380	2021-03-09 18:21:28.457624	22	219	71	2777	20	12	139
380	2021-03-09 18:36:30.279147	22	219	71	2598	22	4	139
380	2021-03-09 18:51:32.275873	23	219	82	2598	19	5	160
380	2021-03-09 19:06:34.093539	23	181	82	2959	18	12	155
358	2021-03-09 19:21:36.518175	35	200	82	2959	30	7	172
335	2021-03-09 19:36:38.565586	49	207	66	2959	30	14	172
324	2021-03-09 19:51:40.297419	38	212	66	2959	25	10	172
355	2021-03-09 20:06:42.276411	47	185	98	2959	25	10	177
300	2021-03-09 20:21:44.780840	47	185	68	2959	22	10	145
294	2021-03-09 20:36:46.624645	52	206	71	3151	22	10	141
288	2021-03-09 20:51:48.456190	34	195	68	2650	30	10	141
288	2021-03-09 21:06:50.270147	25	297	68	2769	30	9	144
247	2021-03-09 21:21:52.805594	25	304	63	2846	30	4	157
229	2021-03-09 21:36:54.593557	26	345	54	2621	30	10	130
223	2021-03-09 21:51:56.392757	35	345	62	2540	30	11	125
223	2021-03-09 22:06:58.030847	86	345	62	3686	12	10	151
